City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Half Moon Bay,37.4636,-122.4286,50.0,93,90,6.91,US,1619269781
Beberibe,-4.1797,-38.1306,82.0,94,75,9.22,BR,1619269781
Yairipok,24.6667,94.0667,84.2,26,40,3.44,IN,1619269782
Camabatela,-8.1881,15.375,71.62,80,94,5.64,AO,1619269782
Macalaya,12.8894,123.7711,78.03,87,11,2.28,PH,1619269783
Port Lincoln,-34.7333,135.8667,59.27,68,2,5.99,AU,1619269783
Forsytheganj,52.6333,29.7333,43.97,46,99,14.63,BY,1619269783
Kaeo,-35.1,173.7833,54.0,92,72,5.57,NZ,1619269784
Waingapu,-9.6567,120.2641,77.86,83,44,6.38,ID,1619269784
Lüderitz,-26.6481,15.1594,71.01,63,1,9.53,NA,1619269306
Bundaberg,-24.85,152.35,64.4,72,0,6.91,AU,1619269785
Sovetskiy,61.3614,63.5842,47.08,80,100,6.35,RU,1619269785
Balclutha,-46.2339,169.75,46.0,87,13,1.99,NZ,1619269785
Mayumba,-3.432,10.6554,82.27,76,95,4.7,GA,1619269786
Kilimatinde,-5.85,34.95,82.67,45,40,4.61,TZ,1619269786
Yuci,37.6803,112.7319,55.4,58,75,8.95,CN,1619269787
Sattahip,12.6664,100.9007,89.01,79,20,9.22,TH,1619269787
Daru,-9.0763,143.2092,80.69,83,99,8.25,PG,1619269788
Cayenne,4.9333,-52.3333,77.0,94,90,6.91,GF,1619269789
Belyy Yar,53.6039,91.3903,44.6,39,40,6.71,RU,1619269789
Boma,7.0805,-2.1697,94.96,43,74,2.93,GH,1619269790
Okhotsk,59.3833,143.3,18.55,79,70,7.7,RU,1619269790
Sharkan,57.2989,53.8712,46.99,90,100,8.68,RU,1619269791
Esso,55.9333,158.7,33.06,98,100,3.44,RU,1619269791
Yagodnoye,62.55,149.6667,3.92,98,100,0.94,RU,1619269792
Buala,-8.145,159.5921,80.17,81,70,1.57,SB,1619269792
Quang Ngai,15.1167,108.8,79.14,84,39,5.99,VN,1619269792
Jagdalpur,19.0667,82.0333,89.06,14,9,2.44,IN,1619269793
Khāsh,28.2211,61.2158,87.71,5,18,8.25,IR,1619269793
Gunjur,13.2019,-16.7339,89.6,40,0,9.22,GM,1619269793
Bukachacha,52.9833,116.9167,40.64,32,99,2.84,RU,1619269793
Methóni,36.8197,21.7049,64.0,72,75,4.61,GR,1619269794
Itarema,-2.9248,-39.9167,84.6,70,78,11.43,BR,1619269794
Raudeberg,61.9875,5.1352,42.01,75,37,16.04,NO,1619269794
Kismayo,-0.3582,42.5454,85.19,65,97,12.46,SO,1619269795
Hukuntsi,-24.0,21.75,79.43,16,0,2.1,BW,1619269795
Helong,42.5397,128.9972,41.4,83,0,3.51,CN,1619269795
Eyl,7.9803,49.8164,86.31,62,6,11.14,SO,1619269795
Kasongo-Lunda,-6.4667,16.8167,75.63,83,100,2.33,CD,1619269796
Lunca,43.8333,24.7667,62.01,48,75,6.91,RO,1619269796
Itoman,26.1247,127.6694,69.8,73,75,16.11,JP,1619269796
Pitimbu,-7.4706,-34.8086,78.8,94,75,3.44,BR,1619269797
Mariakani,-3.8633,39.4736,87.8,62,20,10.36,KE,1619269797
Tommot,58.9564,126.2925,26.02,92,100,3.11,RU,1619269797
Gold Coast,-28.0,153.4333,62.01,88,15,1.14,AU,1619269797
Togul,53.465,85.9128,34.05,86,100,3.6,RU,1619269798
Puerto Escondido,15.85,-97.0667,77.0,88,40,5.75,MX,1619269603
Tadotsu,34.275,133.75,61.0,72,40,5.75,JP,1619269798
Bonthe,7.5264,-12.505,88.57,58,51,11.14,SL,1619269798
Río Cuarto,-33.1307,-64.3499,59.0,94,90,8.05,AR,1619269799
Maţāy,28.419,30.7792,92.32,9,8,14.97,EG,1619269799
Corsicana,32.0954,-96.4689,59.0,94,40,9.22,US,1619269712
Luwuk,-0.9516,122.7875,79.57,80,93,3.53,ID,1619269799
Hobyo,5.3505,48.5268,86.45,64,97,10.94,SO,1619269800
Killybegs,54.6333,-8.45,64.4,24,0,12.66,IE,1619269800
Tete,-16.1564,33.5867,91.4,38,40,8.05,MZ,1619269800
João Pinheiro,-17.7425,-46.1725,80.82,35,14,1.28,BR,1619269801
Kharan,28.5833,65.4167,95.11,3,0,4.99,PK,1619269696
Ryomgård,56.3843,10.503,48.2,43,75,4.61,DK,1619269801
Ketchikan,55.3422,-131.6461,33.8,86,1,4.54,US,1619269714
Los Llanos de Aridane,28.6585,-17.9182,71.6,64,75,10.36,ES,1619269543
Mathbaria,22.2876,89.9593,87.3,46,10,11.01,BD,1619269804
Clyde River,70.4692,-68.5914,14.0,92,90,9.22,CA,1619269804
Lamar,33.6668,-95.5836,55.4,94,1,10.36,US,1619269804
Safi,32.2994,-9.2372,65.95,72,5,13.15,MA,1619269768
Envira,-7.3,-70.2167,76.89,89,66,2.01,BR,1619269805
Morant Bay,17.8815,-76.4093,82.4,61,20,6.91,JM,1619269805
Kenai,60.5544,-151.2583,30.99,86,1,2.75,US,1619269806
San Vicente,-26.6167,-54.1333,63.18,94,100,3.0,AR,1619269806
Labuhan,-6.8844,112.2051,79.9,80,65,6.58,ID,1619269565
Port-Gentil,-0.7193,8.7815,87.8,70,75,4.61,GA,1619269806
Flinders,-34.5833,150.8552,54.0,80,39,1.01,AU,1619269806
Bathsheba,13.2167,-59.5167,84.2,54,40,17.27,BB,1619269807
La Rioja,42.25,-2.5,71.01,42,0,21.85,ES,1619269807
Aquiraz,-3.9014,-38.3911,82.0,94,75,9.22,BR,1619269807
Lavrentiya,65.5833,-171.0,20.32,97,71,3.33,RU,1619269808
Tahe,52.3333,124.7333,38.14,50,0,9.42,CN,1619269808
Claresholm,50.0333,-113.5852,28.99,93,100,2.3,CA,1619269808
Tual,-5.6667,132.75,85.21,68,94,18.23,ID,1619269809
Tupik,54.4253,119.9327,32.47,72,51,0.27,RU,1619269809
Marystown,47.1666,-55.1483,40.98,78,86,16.67,CA,1619269809
Alora,36.8236,-4.7058,68.0,64,20,10.36,ES,1619269809
Quelimane,-17.8786,36.8883,81.41,62,54,8.16,MZ,1619269810
Hamilton,39.1834,-84.5333,51.01,81,90,3.44,US,1619269657
Būlaevo,54.9056,70.4439,50.74,27,100,11.45,KZ,1619269810
Malpe,13.35,74.7167,86.0,74,40,9.22,IN,1619269810
Sarkand,45.41,79.9186,36.97,49,4,7.43,KZ,1619269811
Gimli,50.6336,-96.9907,23.0,50,16,5.75,CA,1619269811
Mutsu,41.2894,141.2169,55.0,28,100,3.0,JP,1619269811
Saint-Pierre,-21.3393,55.4781,80.6,78,75,27.63,RE,1619269524
Zhumadian,32.9794,114.0294,55.81,89,100,8.93,CN,1619269812
Eyrarbakki,63.863,-21.1481,53.01,76,75,14.97,IS,1619269812
Sorong,-0.8833,131.25,80.51,83,100,8.59,ID,1619269812
Sokoni,-6.4333,39.55,89.6,58,20,9.22,TZ,1619269812
Sampit,-2.5333,112.95,78.82,77,99,2.68,ID,1619269813
Tilichiki,60.4667,166.1,20.19,94,98,4.43,RU,1619269813
Mehamn,71.0357,27.8492,34.66,76,100,6.33,NO,1619269813
Nizhniy Baskunchak,48.2198,46.8311,60.58,59,91,18.88,RU,1619269814
Biltine,14.5333,20.9167,105.35,7,60,7.07,TD,1619269814
Turukhansk,65.8167,87.9833,34.79,96,88,10.94,RU,1619269814
Kieta,-6.2167,155.6333,78.44,83,65,1.48,PG,1619269814
Isabela,6.7085,121.9711,82.4,74,75,6.91,PH,1619269815
Miraflores,19.2167,-98.8083,57.2,38,1,4.61,MX,1619269815
Mandera,3.9366,41.867,89.69,45,100,5.73,KE,1619269815
Valley City,46.9233,-98.0032,19.4,73,1,8.05,US,1619269816
Gornji Milanovac,44.0333,20.45,63.0,31,0,5.75,RS,1619269762
Ponoka,52.6768,-113.5815,19.4,73,60,2.3,CA,1619269816
Vila Franca do Campo,37.7167,-25.4333,59.0,77,75,16.11,PT,1619269561
Pangody,65.85,74.4859,33.28,98,100,7.78,RU,1619269816
Tucumã,-0.1833,-50.05,82.62,76,92,4.72,BR,1619269817
Cachoeiro de Itapemirim,-20.8489,-41.1128,81.14,56,2,1.52,BR,1619269817
Hūn,29.1268,15.9477,82.49,27,0,16.35,LY,1619269817
Flin Flon,54.7682,-101.865,15.8,73,20,5.75,CA,1619269817
Ossora,59.2353,163.0719,30.16,98,100,2.91,RU,1619269818
Kitimat,54.0524,-128.6534,41.0,60,40,19.57,CA,1619269818
Muli,2.9167,73.5667,83.95,66,15,10.85,MV,1619269577
Karamürsel,40.6914,29.6157,60.8,94,75,16.11,TR,1619269818
Bang Saphan,11.2126,99.5117,79.81,83,100,5.14,TH,1619269819
San Quintín,30.4833,-115.95,44.01,21,29,1.99,MX,1619269556
Macklin,52.3334,-109.9348,10.4,100,4,1.14,CA,1619269819
Saint-Augustin,51.226,-58.6502,34.21,95,100,10.31,CA,1619269819
Lixouri,38.2019,20.4314,71.6,46,75,8.05,GR,1619269820
Yumen,40.2833,97.2,57.13,19,100,10.11,CN,1619269527
Chifeng,42.2683,118.9636,49.19,47,64,8.52,CN,1619269749
Mareeba,-17.0,145.4333,75.2,94,90,10.36,AU,1619269820
Djambala,-2.5447,14.7533,71.38,80,100,3.91,CG,1619269820
Dejen,10.1667,38.1333,72.73,30,81,1.66,ET,1619269821
Arlit,18.7369,7.3853,106.74,5,9,8.25,NE,1619269821
Mahon,39.8885,4.2658,66.2,59,20,8.05,ES,1619269822
Luba,3.4568,8.5547,86.0,70,20,3.44,GQ,1619269822
Dongsheng,39.8161,109.9776,55.04,50,100,17.45,CN,1619269823
Adrar,20.5022,-10.0711,94.66,10,0,4.88,MR,1619269823
Kimry,56.8667,37.35,38.35,96,100,8.12,RU,1619269824
Tutóia,-2.7619,-42.2744,84.9,67,55,9.31,BR,1619269824
Uttaradit,17.6667,100.5,87.01,56,100,2.93,TH,1619269825
Paita,-5.0892,-81.1144,71.6,73,0,19.57,PE,1619269825
Dire Dawa,9.5931,41.8661,79.92,44,100,11.5,ET,1619269826
Luanda,-8.8368,13.2343,84.2,74,75,8.05,AO,1619269797
Puerto Colombia,10.9878,-74.9547,82.4,78,40,5.75,CO,1619269826
Kahului,20.8947,-156.47,71.6,88,75,14.97,US,1619269827
Xingyi,24.1877,102.817,70.56,25,36,3.58,CN,1619269827
Chico,39.7285,-121.8375,54.0,62,90,16.11,US,1619269496
Invermere,50.5167,-116.0354,35.01,89,98,1.63,CA,1619269828
Gualeguaychú,-33.0094,-58.5172,62.01,93,100,15.99,AR,1619269828
Udangudi,8.4333,78.0167,91.4,52,20,6.91,IN,1619269828
Bǝrdǝ,40.3744,47.1267,75.2,43,0,10.36,AZ,1619269829
Araguaína,-7.1911,-48.2072,82.18,75,49,3.0,BR,1619269829
Sibolga,1.7427,98.7792,76.28,93,100,3.89,ID,1619269829
Kérouané,9.2667,-9.0167,102.13,21,40,5.28,GN,1619269830
Tolaga Bay,-38.3667,178.3,56.03,79,66,5.12,NZ,1619269830
Bongaree,-27.0797,153.1586,60.01,90,2,2.13,AU,1619269831
Jumla,29.2747,82.1838,51.75,56,89,2.98,NP,1619269831
Camacha,33.0833,-16.3333,66.2,63,40,16.11,PT,1619269832
Kalmunai,7.4167,81.8167,82.53,73,62,9.51,LK,1619269832
Samarai,-10.6167,150.6667,81.95,79,100,11.03,PG,1619269833
Tongliao,43.6125,122.2653,46.02,27,79,6.6,CN,1619269833
Byron Bay,-28.65,153.6167,59.0,94,40,2.71,AU,1619269651
Znamenskoye,57.1281,73.8282,47.43,48,100,4.61,RU,1619269833
Nador,35.174,-2.9287,64.4,77,75,14.97,MA,1619269834
Kirensk,57.7853,108.1119,33.67,95,100,3.62,RU,1619269834
Kattivākkam,13.2167,80.3167,86.0,70,20,10.36,IN,1619269834
Kedrovyy,56.1667,91.8167,37.4,65,0,4.47,RU,1619269835
Hunchun,42.8675,130.3581,43.59,71,0,4.76,CN,1619269835
Dragør,55.5946,12.6664,48.2,31,0,16.11,DK,1619269836
Farmington,36.7281,-108.2187,35.6,55,1,6.91,US,1619269738
Kiryat Gat,31.61,34.7642,78.01,50,0,1.01,IL,1619269836
Lubao,14.9167,120.55,80.6,74,75,5.75,PH,1619269837
Gargždai,55.7128,21.4033,44.6,57,40,6.91,LT,1619269837
Siyabuswa,-25.1132,29.0445,83.91,15,21,17.43,ZA,1619269838
Lālmohan,22.3384,90.7419,85.82,59,5,13.94,BD,1619269838
Onega,63.9061,38.1404,47.37,80,100,6.33,RU,1619269838
Quesnel,52.9999,-122.5029,26.6,68,1,4.61,CA,1619269839
Zarya,55.7553,38.0958,42.01,87,40,13.42,RU,1619269839
Tulum,20.2167,-87.4667,82.4,74,40,9.22,MX,1619269840
Edd,13.9297,41.6925,93.47,49,15,24.34,ER,1619269840
